Location,Rooms,Area,Owner ID
Century Park,6,2487.13,4
Mill Woods,5,1539.32,1
Mill Woods,3,1030.29,3
Strathcona,3,1248.48,5
Clareview,6,1593.65,5
Downtown,3,1103.95,4
Downtown,4,1465.69,0
Downtown,2,1011.61,0
McKernan,1,411.07,4
McKernan,3,1275.99,6
Clareview,6,1668.79,4
Bonnie Doon,4,1680.63,5
Mill Woods,4,1615.9,6
Downtown,3,1341.28,6
Clareview,2,789.33,0
Southgate,2,879.53,3
Century Park,2,822.74,6
Century Park,6,1560.6,4
Bonnie Doon,3,1048.62,2
Bonnie Doon,1,492.93,4
Downtown,3,1310.88,0
Bonnie Doon,6,1531.79,2
Bonnie Doon,5,2020.76,2
Clareview,4,1761.19,6
Century Park,4,1302.8,2
McKernan,4,1757.83,1
Southgate,4,1842.35,6
Bonnie Doon,1,567.52,6
Mill Woods,2,971.02,6
Bonnie Doon,4,1446.47,2
Clareview,2,756.94,5
Bonnie Doon,4,1639.49,2
Strathcona,4,1527.54,3
Mill Woods,6,2474.45,2
Mill Woods,5,1715.77,2
Downtown,2,1096.15,6
McKernan,2,806.52,2
Downtown,2,715.88,4
Clareview,6,2686.45,5
Mill Woods,6,1841.33,2
Southgate,6,2123.3,3
Mill Woods,4,1575.98,2
Mill Woods,3,1247.81,0
Mill Woods,6,1803.39,2
Bonnie Doon,5,2196.11,1
Century Park,3,1151.55,4
McKernan,1,495.36,5
Downtown,3,1005.93,5
Century Park,5,2292.16,2
Strathcona,2,855.32,6
Southgate,2,823.03,6
Clareview,3,1055.11,3
Mill Woods,6,1841.14,5
McKernan,5,2125.76,3
Bonnie Doon,6,1607.83,1
Strathcona,3,1381.61,1
Mill Woods,5,2146.63,1
McKernan,3,1063.19,4
Mill Woods,5,1320.34,2
Mill Woods,6,1994.85,2
Century Park,6,1890.04,2
Southgate,5,2191.68,6
Strathcona,6,2115.15,3
Strathcona,5,2294.54,6
Century Park,4,1381.73,4
Strathcona,4,1188.45,0
McKernan,4,1478.66,1
Clareview,3,1125.52,1
Clareview,2,756.28,0
Bonnie Doon,2,994.14,0
Downtown,5,1665.8,2
Century Park,4,1443.06,6
Mill Woods,2,829.14,4
Century Park,2,794.72,5
Clareview,1,512.29,2
McKernan,2,797.36,4
Southgate,1,534.16,4
Downtown,3,939.54,3
Mill Woods,4,1443.54,4
Downtown,6,2585.94,4
Clareview,2,879.45,5
Century Park,1,585.41,4
Downtown,5,2050.14,3
Bonnie Doon,6,2022.31,1
Clareview,4,1235.19,0
Downtown,5,2045.33,5
Clareview,1,461.06,3
Downtown,5,1514.33,5
Clareview,4,1785.36,1
Century Park,2,715.81,1
Downtown,2,889.64,2
Downtown,1,518.58,0
Clareview,4,1441.82,0
Century Park,2,768.64,5
Bonnie Doon,4,1699.71,3
McKernan,2,799.29,5
Strathcona,4,1203.57,1
Century Park,3,948.39,6
Downtown,2,889.41,4
Strathcona,3,1108.72,6
